EMCS/WeatherStation/humidity,EMCS/WeatherStation/temperature,EMCS/WeatherStation/windSpeed,MACS/ElevationAxis/position,MACS/AzimuthAxis/position,ECS/DomeRotation/actualPosition
22.4453,6.7648,4.01,88.99999475889685,89.99972090919691,89.9998
22.3513,6.8118,4.16,88.99999783595686,89.99972334758161,89.9998
22.3513,6.8118,4.16,88.99999878005482,89.99972105423095,89.9998
22.4784,6.7645,3.01,89.00000112281644,89.99973233062714,89.9998
22.5235,6.7186,2.33,89.00000259141328,89.99974304501644,89.9998
22.6914,6.6649,3.42,88.99999122727112,89.999731750491,89.9998
22.8348,6.5975,3.48,88.9999945141307,89.99969455832573,89.9998
22.6002,6.6763,4.91,88.99999647225981,89.99971709298887,89.9998
22.4995,6.748,4.9,88.99999636736004,89.99971301390664,89.9998
22.737,6.7212,5.34,88.9999996891862,89.99971692076095,89.9998
22.9082,6.6819,5.62,89.0000016822819,89.9997159055227,89.9998
22.9082,6.6819,5.62,89.00000392014374,89.99971505344776,89.9998
23.1932,6.5655,3.27,89.00000587827284,89.99972072790436,89.9998
23.3285,6.5415,4.1,89.00000542370717,89.99971431014833,89.9998
23.4618,6.5064,3.48,89.00000465444215,89.99972233234337,89.9998
23.446,6.5142,3.29,89.00000241658032,89.99973713487954,89.9998
23.7501,6.4583,3.9,89.00000185711485,89.99972429030284,89.9998
23.8163,6.4095,3.38,88.99999871012164,89.99973497749826,89.9998
23.5415,6.4369,3.0,88.99999979408598,89.99972284902712,89.9998
23.5088,6.4513,3.35,88.9999985003221,89.99972299406116,89.9998
23.4618,6.4299,2.56,88.9999953183623,89.99970990473953,89.9998
23.3385,6.4343,2.06,88.99999615756049,89.99971586019957,89.9998
23.256,6.4439,1.18,88.99999549319526,89.99971888778505,89.9998
23.3769,6.4287,2.26,88.99999664709277,89.99970177376896,89.9998
23.4345,6.4047,2.28,88.99999843038891,89.99970934273264,89.9998
23.4239,6.3958,2.32,89.00000084308371,89.99971884246192,89.9998
23.3827,6.408,2.62,89.00000038851803,89.99972356513267,89.9998
23.3875,6.4328,2.63,89.00000140254917,89.99971625904317,89.9998
23.3323,6.4772,3.26,88.99999419943138,89.99972826967416,90.0
23.2009,6.5179,3.39,88.99999654219299,89.99971668508064,89.9998
22.9907,6.5994,3.6,88.99999559809503,89.99972432656135,89.9998
22.7643,6.6907,2.48,88.99999447916412,89.99971989395867,89.9998
22.6161,6.7758,3.86,88.99999598272753,89.99971266945082,89.9998
22.5628,6.8385,4.0,88.99999783595686,89.99971889684967,89.9998
22.6002,6.8356,4.13,88.99999961925302,89.99972042877167,89.9998
22.5599,6.8521,3.86,89.00000185711485,89.99970552652461,89.9998
22.3311,6.9142,3.45,89.0000020669144,89.99970313346303,89.9998
22.12,6.9964,3.83,89.0000044446426,89.99971163608332,89.9998
21.9996,7.0576,3.18,89.0000044796092,89.99970356856514,89.9998
22.1176,7.0696,2.61,89.00000661257126,89.99971088371926,89.9998
22.3388,7.0215,2.5,89.00000416490988,89.9997121980902,89.9998
22.2611,7.0226,4.43,89.00000465444215,89.99971556106688,89.9998
22.061,7.0558,3.28,89.00000374531078,89.9996992175441,89.9998
21.9656,7.086,1.1,89.00000500410806,89.9996938150263,89.9998
21.8164,7.1252,1.09,89.00000577337308,89.99971648565885,89.9998
21.8356,7.1347,2.4,89.00000196201464,89.99972098171392,89.9998
